MES,DIA,HORA,OBSERVACION,PRONOSTICO
9,3.0,1.0,1.652,0.183380219363366
9,3.0,2.0,1.695,0.214648780004985
9,3.0,3.0,1.709,0.176576545637305
9,3.0,4.0,1.701,0.274602913491713
9,3.0,5.0,1.682,0.328422175977875
9,3.0,6.0,1.581,0.165370154057048
9,3.0,7.0,1.503,-0.125012372027164
9,3.0,8.0,1.487,-0.165501490934415
9,3.0,9.0,1.383,-0.033571452619257
9,3.0,10.0,1.355,0.13542273805282
9,3.0,11.0,1.364,0.039693074431131
9,3.0,12.0,1.403,-0.115016659835202
9,3.0,13.0,1.496,-0.048834928732555
9,3.0,14.0,1.636,0.244569394166117
9,3.0,15.0,1.685,0.501414319396384
9,3.0,16.0,1.742,0.463959359148249
9,3.0,17.0,1.88,0.261789848522742
9,3.0,18.0,1.814,0.210017972554037
9,3.0,19.0,1.81,0.359012313848878
9,3.0,20.0,1.746,0.430660392147923
9,3.0,21.0,1.688,0.294188755562627
9,3.0,22.0,1.67,0.118917680460518
9,3.0,23.0,1.612,0.065639749034911
9,4.0,0.0,1.606,0.121637914266913
9,4.0,1.0,1.644,0.204998992611559
9,4.0,2.0,1.668,0.215647481505647
9,4.0,3.0,1.724,0.170665914280911
9,4.0,4.0,1.714,0.191639992311139
9,4.0,5.0,1.684,0.223890986824029
9,4.0,6.0,1.639,0.152562458868886
9,4.0,7.0,1.58,-0.010223690155923
9,4.0,8.0,1.484,-0.074113367135699
9,4.0,9.0,1.388,0.01212167019607
9,4.0,10.0,1.357,0.066587049477967
9,4.0,11.0,1.358,-0.023422008147334
9,4.0,12.0,1.39,-0.112480653765539
9,4.0,13.0,1.481,-0.007944319701736
9,4.0,14.0,1.574,0.193426786878603
9,4.0,15.0,1.648,0.359112990941366
9,4.0,16.0,1.691,0.342580674240577
9,4.0,17.0,1.729,0.249136319225504
9,4.0,18.0,1.826,0.231381566183502
9,4.0,19.0,1.762,0.333320111819573
9,4.0,20.0,1.755,0.402786578706088
9,4.0,21.0,1.701,0.308126123908793
9,4.0,22.0,1.604,0.139653920779245
9,4.0,23.0,1.591,0.081982170870845
9,5.0,0.0,1.557,0.154297866741387
9,5.0,1.0,1.611,0.236798159581362
9,5.0,2.0,1.587,0.211302623827421
9,5.0,3.0,1.639,0.151918423506937
9,5.0,4.0,1.636,0.162525433519122
9,5.0,5.0,1.696,0.199481616188355
9,5.0,6.0,1.618,0.161084807056391
9,5.0,7.0,1.591,0.078789218182452
9,5.0,8.0,1.522,0.04104478805124
9,5.0,9.0,1.458,0.066946995281932
9,5.0,10.0,1.469,0.047882052035566
9,5.0,11.0,1.44,-0.016354931558562
9,5.0,12.0,1.429,-0.051835805857968
9,5.0,13.0,1.439,0.031124410885199
9,5.0,14.0,1.497,0.150356943865577
9,5.0,15.0,1.533,0.248909862821272
9,5.0,16.0,1.619,0.247531642026443
9,5.0,17.0,1.683,0.203489038566343
9,5.0,18.0,1.681,0.224814608092828
9,5.0,19.0,1.694,0.315478846489422
9,5.0,20.0,1.647,0.375242610664631
9,5.0,21.0,1.61,0.295378764990904
9,5.0,22.0,1.621,0.160691862405875
9,5.0,23.0,1.564,0.125990306633534
9,6.0,0.0,1.572,0.193202014563849
9,6.0,1.0,1.528,0.242584273866086
9,6.0,2.0,1.496,0.198638683699606
9,6.0,3.0,1.541,0.132614719492946
9,6.0,4.0,1.59,0.144344093583657
9,6.0,5.0,1.616,0.18001642413457
9,6.0,6.0,1.572,0.180772701951555
9,6.0,7.0,1.564,0.145060557833508
9,6.0,8.0,1.593,0.12488426379382
9,6.0,9.0,1.514,0.122624727536708
9,6.0,10.0,1.511,0.098762185755491
9,6.0,11.0,1.379,0.047505086704202
9,6.0,12.0,1.455,0.022706067418251
9,6.0,13.0,1.373,0.062794217281418
9,6.0,14.0,1.418,0.127209698171572
9,6.0,15.0,1.512,0.171251579558243
9,6.0,16.0,1.535,0.174269157524189
9,6.0,17.0,1.63,0.158051998449638
9,6.0,18.0,1.639,0.214265018049073
9,6.0,19.0,1.646,0.288872085386971
9,6.0,20.0,1.686,0.330067334036806
9,6.0,21.0,1.693,0.277425082677389
9,6.0,22.0,1.656,0.204023407303219
9,6.0,23.0,1.582,0.18765447845449
9,7.0,0.0,1.566,0.227567528336176
9,7.0,1.0,1.511,0.239271725150145
9,7.0,2.0,1.499,0.1887574204831
9,7.0,3.0,1.521,0.126417198831631
9,7.0,4.0,1.57,0.123848214088296
9,7.0,5.0,1.597,0.168571353401645
9,7.0,6.0,1.651,0.203938337038131
9,7.0,7.0,1.674,0.197941976404102
9,7.0,8.0,1.661,0.185836338018309
9,7.0,9.0,1.684,0.192204623700801
9,7.0,10.0,1.648,0.191459422242458
9,7.0,11.0,1.577,0.162261957500321
9,7.0,12.0,1.561,0.125660389547719
9,7.0,13.0,1.56,0.127067238754688
9,7.0,14.0,1.475,0.13798720867577
9,7.0,15.0,1.479,0.128994616376843
9,7.0,16.0,1.563,0.113759442297431
9,7.0,17.0,1.525,0.127589124840729
9,7.0,18.0,1.604,0.187765712636227
9,7.0,19.0,1.665,0.23717051311075
9,7.0,20.0,1.718,0.273473813184514
9,7.0,21.0,1.7,0.264779079762937
9,7.0,22.0,1.707,0.241260067194745
9,7.0,23.0,1.725,0.233976460064577
